1 2 3 4 5 6 7 8 9 
2 3 4 5 6 7 8 9 1 
3 4 5 6 7 8 9 1 2 
4 5 6 7 8 9 1 2 3 
5 6 7 8 9 1 2 3 4 
6 7 8 9 1 2 3 4 5 
7 8 9 1 2 3 4 5 6 
8 9 1 2 3 4 5 6 7 
9 1 2 3 4 5 6 7 8 
false

1 4 3 6 2 8 5 7 9 
5 7 2 1 3 9 4 6 8 
9 8 6 7 5 4 2 3 1 
3 9 1 5 4 2 7 8 6 
4 6 8 9 1 7 3 5 2 
7 2 5 8 6 3 9 1 4 
2 3 7 4 8 1 6 9 5 
6 1 9 2 7 5 8 4 3 
8 5 4 3 9 6 1 2 7 
true

1 4 3 6 2 8 5 7 9 
5 7 2 1 3 9 4 6 8 
9 8 6 1 5 4 2 3 1 
3 9 1 5 4 2 7 8 6 
4 6 8 9 1 7 3 5 2 
7 2 5 8 6 3 9 1 4 
2 3 7 4 8 1 6 9 5 
6 1 9 2 7 5 8 4 3 
8 5 4 3 9 6 1 2 7 
false

2 4 3 6 2 8 5 7 9 
5 7 2 1 3 9 4 6 8 
9 8 6 1 5 4 2 3 1 
3 9 1 5 4 2 7 8 6 
4 6 8 9 1 7 3 5 2 
7 2 5 8 6 3 9 1 4 
2 3 7 4 8 1 6 9 5 
6 1 9 2 7 5 8 4 3 
8 5 4 3 9 6 1 2 7 
false

